Target_Name,Median_COS_SN,COS_Files_Verified,COS_Files_Total,Median_STIS_SN,STIS_Files_Verified,STIS_Files_Total,Median_FOS_SN,FOS_Files_Verified,FOS_Files_Total,Median_HRS1_SN,HRS1_Files_Verified,HRS1_Files_Total,Median_HRS2_SN,HRS2_Files_Verified,HRS2_Files_Total,Median_FUSE_SN,FUSE_Files_Verified,FUSE_Files_Total,Median_IUE_SN,IUE_Files_Verified,IUE_Files_Total
PG1115+080A1,1.3822569251060486,4,11,,0,5,3.586839297604297e-08,7,23,,0,0,,0,0,,0,0,,0,0
PG1115+407,3.242083191871643,8,12,,0,0,1.0123295840976635e-07,6,6,,0,0,,0,0,0.9265182316303253,1,1,,0,0
PG1116+215,7.044480562210083,8,8,1.7512518167495728,25,25,2.1986554162906447e-07,11,11,1.8725480509544177e-07,3,9,,0,0,2.9720386266708374,5,5,11.66149091720581,2,2
PG1148+549,1.5503944158554077,22,34,,0,0,9.499845801007838e-08,4,6,,0,0,,0,0,,0,0,,0,0
PG1202+281,1.2379056215286255,6,13,,0,0,5.2213318204070666e-08,3,7,,0,0,,0,0,0.7558524310588837,1,1,,0,0
PG1206+459,1.2339483499526978,76,93,2.383045196533203,6,6,7.576548538502378e-08,5,5,,0,0,,0,0,,0,0,,0,0
PG1211+143,3.1635760068893433,16,16,2.6482092142105103,20,25,1.4391496028923297e-07,8,8,,0,3,,0,2,5.96332311630249,1,1,9.473482131958008,13,13
PG1216+069,3.2430083751678467,8,16,1.184191107749939,27,27,1.461758710066948e-07,10,10,,0,3,,0,0,1.2658036947250366,1,1,,0,0
PG1259+593,5.712285995483398,8,10,1.2212426662445068,42,42,1.6437002459910203e-07,9,9,,0,0,,0,0,2.897175669670105,10,10,,0,0
PG1352+183,3.598083019256592,8,12,,0,0,9.729429239357417e-08,4,4,,0,0,,0,0,0.8955119848251343,1,1,,0,0
PG1407+265,1.195997714996338,24,36,,0,0,8.278834476846746e-08,4,4,,0,0,,0,0,,0,0,7.214306831359863,2,2
PG1411+442,1.6933138370513916,8,26,38.42395782470703,1,1,1.5756944974866215e-07,5,5,,0,0,,0,0,1.4452433586120605,1,1,,0,0
PG1415+451,1.4968305826187134,8,8,16.63972759246826,2,2,7.496381948477992e-08,5,5,,0,0,,0,0,1.290669322013855,1,1,,0,0
PG1424+240,2.760557174682617,11,11,1.1375377178192139,5,5,,0,0,,0,0,,0,0,,0,0,,0,0
PG1522+101,1.4523908495903015,12,25,1.629356861114502,8,8,7.199043811716729e-08,11,15,,0,0,,0,0,,0,0,,0,0
PG1626+554,3.990908980369568,8,12,,0,0,1.238524917796857e-07,6,6,,0,0,,0,0,2.097557306289673,2,2,,0,0
PG1630+377,1.3256927728652954,21,35,1.811743438243866,3,3,6.236430018299348e-08,4,8,7.244444866059416e-08,4,10,,0,0,,0,0,,0,0
PG1718+481,1.4544419646263123,36,36,2.6117024421691895,10,10,1.1510149169122461e-07,3,6,,0,0,,0,3,0.837212324142456,2,2,,0,0
PG2112+059,1.802059531211853,4,4,13.600491523742676,2,6,6.215851739567474e-08,3,3,8.412613544212707e-08,1,2,,0,0,,0,0,,0,0
PHL1811,6.421248912811279,8,8,2.0725133419036865,21,21,,0,0,,0,0,,0,0,,0,0,,0,0
PKS0405-123,5.576539039611816,22,22,1.454895257949829,10,16,,0,15,,0,0,,0,20,1.6251282691955566,1,1,,0,0
PKS0558-504,3.2185540199279785,4,4,,0,0,,0,0,,0,0,,0,0,4.07081413269043,2,2,,0,0
PKS1136-13,2.994840383529663,3,3,,0,0,6.091039919661359e-08,4,4,,0,0,,0,0,,0,0,,0,0
PKS1302-102,3.6647181510925293,10,10,1.7874651551246643,2,2,1.605394724291909e-07,9,11,,0,0,,0,0,2.3195815086364746,3,3,9.059488296508789,2,2
PKS2005-489,3.007203459739685,8,8,26.003722190856934,4,4,,0,0,,0,0,,0,0,2.7173324823379517,3,3,11.25568675994873,10,10
PKS2155-304,7.909061908721924,5,5,3.5665972232818604,4,4,1.6289986665185935e-07,10,10,2.9940627785991277e-07,2,5,3.136887426191379e-07,10,15,6.954808235168457,3,3,13.523972511291504,108,108
PMNJ1103-2329,1.629148244857788,10,10,8.617246627807617,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
PSRB0656+14,0.3554639518260956,8,8,0.7185630798339844,6,8,,0,1,,0,0,,0,0,,0,0,,0,0
Q0302-003,0.3460506498813629,11,11,,0,14,,0,0,,0,56,,0,0,,0,0,,0,0
RXJ0438.6+1546,0.4301460385322571,4,4,11.248779296875,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
RXJ1556.1-3655,1.0289286375045776,4,4,17.191797256469727,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
RXJ1852.3-3700,0.4370557963848114,8,8,11.034752368927002,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
RXJ2154.1-4414,2.901852011680603,11,11,13.855108261108398,1,1,,0,0,,0,0,,0,0,1.0230616331100464,1,1,,0,0
SBS0926+606A,2.0029702186584473,2,11,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
SDSS1711+6052,0.3558008670806885,10,10,0.9753063917160034,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SDSS2346-0016,0.37785306572914124,3,3,0.954037219285965,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SK-68129,8.376149654388428,12,98,4.558195114135742,5,16,,0,18,,0,0,,0,0,,0,0,9.437709331512451,1,1
SK-68140,6.989022493362427,6,180,3.4116222858428955,5,284,,0,137,,0,72,,0,4,,0,0,11.764044284820557,2,2
SK-68155,7.323604345321655,3,3,5.597515344619751,4,4,,0,0,,0,0,,0,6,,0,0,8.185028076171875,1,1
SK-6826,4.323551416397095,8,14,6.319981575012207,3,3,,0,0,,0,0,,0,0,,0,0,,0,0
SK-69279,8.242323875427246,13,31,5.150031089782715,4,7,,0,0,,0,0,,0,5,,0,0,12.319390296936035,2,2
SK179,11.407510757446289,8,8,10.993239879608154,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SK187,4.776147842407227,5,39,9.808164596557617,2,31,,0,0,,0,0,,0,0,,0,0,,0,0
SK191,6.494781494140625,74,94,10.926298141479492,3,3,,0,0,,0,0,,0,0,3.9139260053634644,1,1,,0,0
SN2009IP,0.41635242104530334,8,8,,0,11,,0,0,,0,0,,0,0,,0,0,,0,0
SN2010AL,0.3569227457046509,2,2,1.2885291576385498,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SN2010JL,1.248457431793213,6,14,6.497464179992676,2,38,,0,0,,0,0,,0,0,,0,0,,0,0
SSTC2DJ160000.6-422158,0.4258677661418915,8,8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
SSTC2DJ161243.8-381503,0.4243466407060623,5,5,3.4847025871276855,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SSTC2DJ161344.1-373646,0.42922234535217285,4,4,4.666945934295654,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SZ10,0.4160288870334625,4,11,2.441787004470825,1,4,,0,0,,0,0,,0,0,,0,0,,0,0
SZ100,0.41947370767593384,3,63,1.6725873351097107,2,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ103,0.42255324125289917,6,63,1.1982141733169556,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ104,0.425190269947052,13,63,1.7504457831382751,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ110,0.4342576563358307,6,63,3.3884687423706055,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ114,0.4330932945013046,12,68,,0,57,,0,0,,0,0,,0,0,,0,0,,0,0
SZ117,0.43035994470119476,5,17,3.4800937175750732,1,7,,0,0,,0,0,,0,0,,0,0,,0,0
